"Perca fluviatalis"
"Theragra finnmarchica"
"Galeorhinus galeus"
"Dicentrarchus labrax"
"Brama brama"
"Chimaera monstrosa"
"Callionymus reticulatus"
"Pomatoschistus lozanoi"
"Trigla lyra"
"Mora moro"
"Pomatoschistus norvegicus"
"Buenia jeffreysii"
"Thorogobius ephippiatus"
"Clupea pallasii pallasii"
"Gaidropsarus mediterraneus"
"Acipenser sturio"
"Centrolophus niger"
"Trachipterus arcticus"
"Gadiculus thori"
"Gaidropsarus vulgaris"
"Lebetus scorpioides"
"Lycodes gracilis"
"Myxine glutinosa"
"Polyprion americanus"
"Lycodes pallidus"
"Icelus bicornis"
"Rhodichthys melanocephalus"
"Paraliparis bathybius"
"Paraliparis violaceus"
"Careproctus derjugini"
"Careproctus knipowitschi"
"Careproctus macrophthalmus"
"Careproctus telescopus"
"Careproctus tapirus"
"Careproctus latiosus"
"Careproctus moskalevi"
"Careproctus dubius"
"Careproctus ranula"
"Careproctus micropus"
"Eumicrotremus derjugini"
"Cyclopteropsis mcalpini"
"Psychrolutes subspinosus"
"Aspidophoroides olrikii"
"Cottus koshewnikowi"
"Triglops nybelini"
"Chelidonichthys lastoviza"
"Dolichopteryx rostrata"
"Lebetus guilleti"
"Mola alexandrini"
"Stomias boa boa"
"Argyropelecus olfersii"
"Coregonus megalops"
"Coregonus pidschian"
"Coregonus nilssoni"
"Leptochilichthys pinguis"
"Notoscopelus kroyeri"
"Diaphus adenomus"
"Enteromius condei"
"Enteromius holotaenia"
"Misgurnus fossilis"
"Halobatrachus didactylus"
"Mullus barbatus barbatus"
"Arctozenus risso"
"Paralepis coregonoides"
"Paralepis brevirostris"
"Lestidiops mirabilis"
"Magnisudis atlantica"
"Chlorophthalmus atlanticus"
"Bathymicrops multispinis"
"Scopelosaurus mauli"
"Atherina presbyter"
"Lepidorhombus boscii"
"Liopsetta glacialis"
"Bathysphyraenops simplex"
"Epigonus telescopus"
"Brinkmannella elongata"
"Echeneis remora"
"Pterycombus brama"
"Taractichthys longipinnis"
"Argyrosomus regius"
"Lycenchelys platyrhina"
"Lycodonus flagellicauda"
"Lycodes eudipleurostictus"
"Lycodes frigidus"
"Lycodes luetkenii"
"Lycodes paamiuti"
"Lycodes seminudus"
"Lycodes squamiventer"
"Sphyraena sphyraena"
"Benthodesmus simonyi"
"Orcynopsis unicolor"
"Hyperoglyphe perciformis"
"Parablennius zvonimiri"
"Paracaristius maderensis"
"Alphestes afer"
"Mycteroperca fusca"
"Epinephelus caninus"
"Epinephelus costae"
"Epinephelus goreensis"
"Epinephelus itajara"
"Serranus pulcher"
"Serranus drewesi"
"Serranus inexpectatus"
"Centrodraco acanthopoma"
"Pseudoscopelus astronesthidens"
"Pseudoscopelus cordilluminatus"
"Coptodon guineensis"
"Helostoma temminckii"
"Lophius vaillanti"
"Ceratias holboelli"
"Physiculus caboverdensis"
"Gaidropsarus mauli"
"Gaidropsarus macrophthalmus"
"Gnathophis mystax"
"Poromitra nigriceps"
"Melamphaes falsidicus"
"Melamphaes manifestus"
"Scopelus microps"
"Scopeloberyx rubriventer"
"Scopelogadus beanii"
"Monognathus boehlkei"
"Monognathus bertini"
"Saccopharynx hjorti"
"Saccopharynx paucovertebratis"
"Saccopharynx thalassa"
"Saccopharynx trilobatus"
"Bellottia apoda"
"Meteoria erythrops"
"Sciadonus pedicellaris"
"Brotulotaenia brevicauda"
"Brotulotaenia crassa"
"Brotulotaenia nigra"
"Ophidion barbatum"
"Ophidion lozanoi"
"Ophidion saldanhai"
"Spectrunculus crassus"
"Mirapinna esau"
"Tetronarce nobiliana"
"Apristurus manis"
"Apristurus microps"
"Odontaspis noronhai"
"Amblyraja jenseni"
"Dipturus intermedius"
"Squatina squatina"
"Squatina oculata"
"Centroscymnus owstonii"
"Centrophorus uyato"
"Oxynotus centrina"
"Echinorhinus brucus"
"Ballerus ballerus"
"Dentex maroccanus"
"Alburnoides bipunctatus"
"Hippocampus guttulatus"
"Channa panaw"
