"x"
"Cyclothone braueri"
"Lampanyctus crocodilus"
"Myctophum punctatum"
"Chauliodus sloani"
"Mullus barbatus"
"Bathyraja spinicauda"
"Sarpa salpa"
"Epinephelus marginatus"
"Diplodus sargus"
"Trachyrincus scabrus"
"Stomias boa"
"Amblyraja radiata"
"Gymnelus viridis"
"Cyclothone alba"
"Trachurus picturatus"
"Nezumia aequalis"
"Nezumia longebarbata"
"Macrourus berglax"
"Trachonurus sulcatus"
"Coelorinchus caelorhincus"
"Zeus faber"
"Malacocephalus laevis"
"Pholis gunnellus"
"Zoarces viviparus"
"Merlangius merlangus"
"Pollachius virens"
"Gadomus dispar"
"Symphodus melops"
"Sander lucioperca"
"Perca fluviatilis"
"Cyclothone acclinidens"
"Arctogadus glacialis"
"Cyclothone pseudopallida"
"Gymnelus taeniatus"
"Gymnelus retrodorsalis"
"Gymnelus andersoni"
"Gymnocanthus tricuspis"
"Syngnathus rostellatus"
"Cyclothone microdon"
"Triglops pingelii"
"Gadus macrocephalus"
"Careproctus reinhardti"
"Argyropelecus aculeatus"
"Oncorhynchus keta"
"Oncorhynchus nerka"
"Psenes maculatus"
"Lycodes rossi"
"Cheilopogon heterurus"
"Oncorhynchus clarkii"
"Cryptopsaras couesii"
"Oncorhynchus mykiss"
"Scomberesox saurus"
"Coelorinchus labiatus"
"Nemichthys scolopaceus"
"Sebastes schlegelii"
"Alepisaurus ferox"
"Lycodes adolfi"
"Lycodes esmarkii"
"Gymnelus hemifasciatus"
"Liparis fabricii"
"Echidna nebulosa"
"Gasterosteus aculeatus"
"Reinhardtius hippoglossoides"
"Lepidopus caudatus"
"Leptoclinus maculatus"
"Auxis rochei"
"Melanolagus bericoides"
"Maurolicus muelleri"
"Euthynnus alletteratus"
"Anisarchus medius"
"Lumpenus fabricii"
"Poecilia reticulata"
"Trachurus mediterraneus"
"Argyropelecus hemigymnus"
"Salmo trutta"
"Brosme brosme"
"Gadus chalcogrammus"
"Histrio histrio"
"Ameiurus nebulosus"
"Cyprinus carpio"
"Bythites fuscus"
"Barbatula barbatula"
"Diaphus rafinesquii"
"Conger conger"
"Ceratoscopelus townsendi"
"Clupea pallasii"
"Nansenia groenlandica"
"Notoscopelus elongatus"
"Notacanthus chemnitzii"
"Isistius brasiliensis"
"Leuciscus leuciscus"
"Ctenopharyngodon idella"
"Anguilla rostrata"
"Hypophthalmichthys molitrix"
"Pseudorasbora parva"
"Hypophthalmichthys nobilis"
